$$,Id_pregunta,Pregunta,Puntaje,reg_status,created_by,created_date,last_update_by,last_update_date,id_pregunta_tipo,id_habilidad,Id_sub_habilidad,id_insignia,&&
$$,50,10. Lee el texto que se presenta a continuación. Luego recuerda algún proyecto que sea parecido al propuesto dentro del texto que revisaste. Después redacta qué has aprendido cuando pones atención a las características de otras personas[00] de su comunidad y de su cultura. En tu texto incluye la importancia de conocer a personas y culturas diferentes de la tuya. \n\nLa fotografía es una forma de expresión que nos motiva a mostrar a los demás nuestras características y las de nuestra cultura. ¿Te imaginas cuántos niños y niñas de toda Latinoamérica participarían en este evento y todo lo que podrías conocer a partir de sus fotografías? ¿Te has preguntado qué tipo de imágenes le mostrarías a alguien que vive en otro lugar para que conociera algo de ti[00] de tu localidad y de tu cultura? Quizá lleguen a tu mente más de una respuesta o quizá sea aun difícil responder.\n,1,activo,developer,2021-11-19,developer,2021-11-19,2,54,57,1,&&
$$,60,10. Lee el texto y lleva a cabo la actividad.\n\nAhora que sabes más sobre los efectos del consumismo y cómo se relaciona directamente con el impacto ambiental[00] tienes la oportunidad de reflexionar sobre los productos que consumes.\n\nTambién es importante que pienses qué motiva tu consumo y los efectos que tiene. Para que comiences a reducir el impacto ambiental[00] elige un producto que uses constantemente y que tenga un impacto negativo.\n\nAhora[00] redacta una estrategia que puedas compartir en tu comunidad para reducir el consumo del producto que elegiste.,1,activo,developer,2021-11-20,developer,2021-11-20,2,54,56,1,&&
$$,70,10. Lee el texto que encontrarás a continuación. Luego[00] encuentra una artesanía que tengas en casa o busca una que te guste en internet. Obsérvala con cuidado y date la oportunidad de conectar con las emociones que te hace sentir. Identifica dichas emociones y el lugar del cuerpo en el que las sientes. Al finalizar[00] escribe lo que experimentaste.\n\nLas artesanías reflejan una parte importante de la identidad cultural de las personas. Esta identidad está conectada en gran medida con la expresión de emociones como amor[00] dignidad[00] orgullo y alegría entre muchas otras. Identificar nuestras emociones es una parte indispensable para expresar y plasmar lo que consideramos importante.,1,activo,developer,2021-11-21,developer,2021-11-21,2,5,21,1,&&
$$,80,10. Lee el texto que se encuentra a continuación. Luego[00] recuerda un momento en el que hayas experimentado una pérdida y lo que hiciste para sentirte mejor. Después[00] escríbele una breve nota a Fátima o a Sofía contándoles tu experiencia y diciéndoles que entiendes por lo que están pasando.\n\nSólo se puede reconocer las emociones que está experimentando otra persona cuando se es capaz de observarlas en la propia experiencia. Dicho de otra manera[00] no puedes identificar algo que no conoces. Para conectar con lo que está viviendo otra persona[00] será necesario que conectes con tus propias emociones. Esto te permitirá acercarte a los demás para atender adecuadamente sus necesidades.,1,activo,developer,2021-11-22,developer,2021-11-22,2,8,41,1,&&
$$,90,10. Lee el texto que se presenta a continuación. Luego[00] escribe al menos dos razones que consideres muy importantes para verificar la información que llegue a tus manos antes de compartirla. Si quieres[00] adicionalmente[00] puedes escribirlas también en una hoja y dejarla en un lugar visible junto a tu computadora.\n\nEn ocasiones puedes encontrar cierta información que parece ajustarse a lo que piensas y crees. Así[00] en lugar de verificar su veracidad[00] cedes al impulso de compartirla inmediatamente. Pero esto puede tener graves consecuencias. Lo más pertinente sería que tuvieras en cuenta algunas de las consecuencias de compartir información falsa para que puedas regular este impulso.,1,activo,developer,2021-11-23,developer,2021-11-23,2,1,15,1,&&
$$,100,10. Lee el texto que encontrarás a continuación. Luego[00] trae a tu memoria cómo piensas que llegaste a ser parte de ese grandioso grupo de amigos y amigas al que actualmente perteneces. Después[00] redacta cuáles son las características que identificas en ti por las cuales formas parte de tu grupo de amistades.\n\nComo lo revisaste en la Teoría de Ramsey[00] la formación de los nexos creados entre los vértices y las aristas facilita que reconozcamos a los subconjuntos. También en tu día a día los nexos (aristas) que creas con otras personas (vértices) ayudan a que puedas elegir a qué subconjunto pertenecer. ¿Te has preguntado cómo llegaste a ser parte del grupo de amigos al que actualmente perteneces?,1,activo,developer,2021-11-24,developer,2021-11-24,2,5,22,1,&&
$$,110,10. Lee el texto que se presenta a continuación[00] luego recuerda un evento de tu vida en el que hayas cometido un error. Después[00] vuelve a contarlo[00] pero en lugar de resaltar emociones ligadas al fracaso (como frustración[00] enojo[00] vergüenza[00] etcétera)[00] trata de estructurar tu narrativa a partir de lo que aprendiste[00] de lo importante que fue esa experiencia para ser la persona que eres hoy en día.\n\nComo se ha mencionado[00] las palabras determinan la forma en la que construimos nuestra realidad. Esto[00] evidentemente[00] incluye la manera en la que nos construimos a nosotros mismos. Sabiendo esto[00] ¿qué narrativa es la que te gustaría contar sobre ti? ¿De qué manera te gustaría construirte a través del lenguaje?,1,activo,developer,2021-11-25,developer,2021-11-25,2,54,55,1,&&
$$,120,10. Lee el texto que se presenta a continuación. Luego[00] recuerda alguna situación problemática que pienses que pudo tener un final distinto si hubieras actuado con más flexibilidad. Por último[00] escribe qué harías diferente para enfrentar una situación similar[00] si volviera a ocurrir.\n\nComo lo revisaste en la lectura[00] una postura flexible en los juegos te permite mayor claridad al momento de formar tu estrategia. Ser flexible en tu vida también te ha permitido conocer que hay más de una forma de ver y afrontar algunas situaciones de tu cotidianeidad. ¿Te ha pasado que[00] por falta de flexibilidad[00] has sentido que te quedas sin Opciónes para afrontar alguna situación difícil?,1,activo,developer,2021-11-26,developer,2021-11-26,2,1,13,1,&&
$$,130,10. Lee el texto que se presenta a continuación. Luego piensa algunas acciones que podrías implementar en tu comunidad para promover la seguridad alimentaria. Al final[00] escribe al menos tres.\n\nBuscar la igualdad de condiciones para todas las personas es uno de los primeros pasos que se deben dar a fin de alcanzar un genuino estado de bienestar social. Procurar el bienestar de todas las personas significa atender las necesidades básicas de todos los individuos[00] independientemente del sector social al que pertenezcan[00] de sus recursos[00] su nivel educativo o[00] para el caso[00] cualquier otra diferencia.\n\nDentro de todas las desigualdades que se experimentan diariamente[00] la falta de seguridad alimentaria es una de las que mayor impacto tienen: sin una buena alimentación[00] se comprometen la salud[00] el desarrollo físico y mental y la dignidad humana. Es imprescindible que se reconozca este problema en su dimensión real para poder cambiarlo.,1,activo,developer,2021-11-27,developer,2021-11-27,2,54,55,1,&&
$$,140,10. Lee el texto que se presenta a continuación. Luego[00] recuerda algún momento en el que hayas escuchado música que te haya parecido extraña o desagradable y redacta un texto en el que resaltes los puntos que llamaron tu atención al escuchar ese género diferente. Expresa cómo te sentiste escuchando ese tipo de música.\n\nLa música electrónica comenzó siendo considerada como simples sonidos creados con una computadora. En la actualidad[00] cuenta con millones de seguidores que legitiman el género reuniéndose en los festivales. En ocasiones[00] encontrarás personas con quienes tengas gustos musicales similares y otras quienes tienen preferencias diferentes. ,1,activo,developer,2021-11-28,developer,2021-11-28,2,8,40,1,&&
$$,150,10. Lee el texto que se presenta a continuación. Luego[00] redacta qué sientes y de qué forma actúas cuando extrañas a alguien. Incluye cuál de esos comportamientos y emociones te gustaría cambiar.\n\nAhora que has identificado las emociones en Gerardo[00] puedes reconocer la importancia que tienen en el momento de formar vínculos afectivos con las personas. ¿Recuerdas algún momento en que hayas extrañado a alguien? ¿Cómo te sentiste? La expresión es parte importante de tus emociones. Por ejemplo[00] Gerardo golpeaba la ventana al sentir indiferencia por parte de su familia.,1,activo,developer,2021-11-29,developer,2021-11-29,2,5,21,1,&&
$$,160,10. Lee el texto que se presenta a continuación. Luego[00] escríbele una carta compromiso a una niña o niño que en el año 2050 tenga la misma edad que tú tienes ahora. Háblale sobre los problemas que actualmente estamos teniendo con el agua. Pero[00] en particular[00] coméntale tres compromisos que harás[00] a partir de ahora[00] para que cuando él o ella llegue a este mundo no sufra por la falta de agua potable.\n\nSin duda[00] uno de los mayores problemas que actualmente está enfrentando la humanidad es el desperdicio y la contaminación del agua. Tanto el incremento de la población mundial como la manera en la que consumimos toda una serie de productos que usamos día a día (desde alimentos como frutas[00] verduras y carne[00] hasta objetos como el papel del que están hechos nuestros libros y cuadernos) han hecho que el agua comience a escasear y que[00] por lo mismo[00] aumente su precio.\n\nEs urgente que todos pongamos de nuestra parte para controlar esta crisis y asegurar que quienes todavía no nacen puedan tener una vida de libre acceso a tan preciado recurso.,1,activo,developer,2021-11-30,developer,2021-11-30,2,54,55,1,&&
$$,170,10. Lee el texto que se presenta a continuación. Luego[00] imagina que estás a punto de escribir un mensaje a tu mejor amiga o amigo contándole la experiencia más reciente en la que te hayas emocionado. Puede ser que hayas sentido mucha alegría[00] tristeza[00] enojo u otras emociones que identifiques. Posteriormente[00] escribe ese mensaje e identifica el uso de algún neologismo o jerga que usen en tu región y que hayas utilizado para contar tu historia. Por último[00] escribe cuál es el significado que le das a esas palabras.\n\nComo has revisado[00] la lengua que hablamos influye en cómo nombramos las cosas. Sucede lo mismo con nuestras emociones. Por ejemplo[00] en el portugués que se habla en Brasil[00] cuando sus hablantes extrañan a alguien[00] denominan esa emoción como saudade. En inglés[00] en cambio[00] se expresa el sentimiento de extrañar y de pérdida con el verbo to miss. Y tú[00] ¿qué palabras utilizas para expresar tus emociones? ¿Has identificado el uso de algún neologismo para manifestar tus sentimientos?,1,activo,developer,2021-12-01,developer,2021-12-01,2,5,21,1,&&
$$,180,10. Lee el texto que se presenta a continuación. Luego[00] escribe un pequeño manifiesto de tres ideas[00] es decir[00] una declaración en la que expliques en tres puntos cómo es que tener una voluntad y ejercerla te hace diferente de un zombi. Puedes empezar diciendo: “Yo no soy un zombi porque puedo…”\n\nLa voluntad es la facultad que tenemos para tomar decisiones y autodeterminarnos. Sin esta capacidad[00] seríamos como robots: seres a la espera de recibir órdenes. No tendríamos ideas propias ni preferencias. ¿Te puedes imaginas cómo sería vivir de esta manera?,1,activo,developer,2021-12-02,developer,2021-12-02,2,5,22,1,&&
