$$,id_respuesta,respuesta,Feedback,correcta,reg_status,created_by,created_date,last_update_by,last_update_date,Id_pregunta,&&
$$,1909,1a,El tiempo presente del modo indicativo es recibes.,0,activo,developer,2021-11-19,developer,2021-11-19,53,&&
$$,1909,2a,¡Muy bien! Recuerda que el modo subjuntivo indica una posibilidad o deseo. En este caso[00] las marcas desean que recibas mensajes de sus productos.,1,activo,developer,2021-11-19,developer,2021-11-19,53,&&
$$,1909,1c,El tiempo futuro del modo indicativo es recibirás. ,0,activo,developer,2021-11-19,developer,2021-11-19,53,&&
$$,1909,2b,El tiempo pasado del modo subjuntivo es recibieras. ,0,activo,developer,2021-11-19,developer,2021-11-19,53,&&
$$,1909,a[00] b[00] c[00] h,¡Cuidado! Con esta opción te encontrarás motivado a consumir por un ámbito social.,0,activo,developer,2021-11-19,developer,2021-11-19,59,&&
$$,1909,b[00] d[00] e[00] g,Tal vez puedas cambiar la donación de objetos que no funcionen por algunos que sí funcionen. Así[00] además de ayudar a la reducción del impacto[00] también ayudarás a los demás.,0,activo,developer,2021-11-19,developer,2021-11-19,59,&&
$$,1909,b[00] c[00] g[00] h,¡Excelente! Ahora ya cuentas con los elementos que te permiten generar un cambio.,1,activo,developer,2021-11-19,developer,2021-11-19,59,&&
$$,1909,b[00] d[00] e[00] h,Tal vez puedas cambiar la donación de objetos que no funcionen por algunos que sí funcionen. Así[00] además de ayudar a la reducción del impacto[00] también ayudarás a los demás.,0,activo,developer,2021-11-19,developer,2021-11-19,59,&&
$$,1909,a[00] c[00] d[00] g,Dos de las palabras clave son correctas[00] pero dos de ellas no existen en el texto. Por favor[00] realiza nuevamente la lectura. ¡Seguramente tuviste una distracción!,0,activo,developer,2021-11-19,developer,2021-11-19,61,&&
$$,1909,b[00] e[00] f[00] g,Lograste identificar sólo dos palabras clave del texto. Las otras dos no aparecen en la lectura. ¿Te parece bien volver a leer? ¿Qué palabras predominan?,0,activo,developer,2021-11-19,developer,2021-11-19,61,&&
$$,1909,a[00] b[00] d[00] f,¡Maravilloso! Identificaste las palabras clave del texto. Te estás volviendo un experto. ¡Sigue practicando!,1,activo,developer,2021-11-19,developer,2021-11-19,61,&&
$$,1909,b[00] c[00] e[00] g,Vuelve al texto para identificar las palabras clave.,0,activo,developer,2021-11-19,developer,2021-11-19,61,&&
$$,1909,usaron,El verbo elegido se encuentra en pasado[00] por lo tanto[00] no corresponde a la oración. No olvides que el tiempo presente se refiere a las acciones que se están realizando en el momento actual.,0,activo,developer,2021-11-19,developer,2021-11-19,62,&&
$$,1909,usan,¡Magnifico! Completaste de manera correcta la oración[00] pues el verbo se encuentra en presente y concuerda con la tercera persona del plural.,1,activo,developer,2021-11-19,developer,2021-11-19,62,&&
$$,1909,han usado,Tu respuesta se refiere a un verbo en tiempo antepresente. El tiempo presente se expresa acciones que se están realizando en el momento actual. ¡Vuelve a intentarlo!,0,activo,developer,2021-11-19,developer,2021-11-19,62,&&
$$,1909,usa,El verbo seleccionado está conjugado en tiempo presente[00] pero no concuerda con la persona y número (segunda persona del plural).,0,activo,developer,2021-11-19,developer,2021-11-19,62,&&
$$,1909,a[00] c[00] e,Tu respuesta es incorrecta. Estas cualidades nos hablan más bien de cualquier objeto comercial[00] pero no de una artesanía.,0,activo,developer,2021-11-19,developer,2021-11-19,69,&&
$$,1909,b[00] f[00] h,En realidad sólo uno de estos atributos es propio de las artesanías. Las artesanías pueden ser objetos frágiles y contar con algunas “imperfecciones”.  ,0,activo,developer,2021-11-19,developer,2021-11-19,69,&&
$$,1909,d[00] e[00] g,Estás cerca[00] dos de estos elementos están presentes en las artesanías. Recuerda que[00] de origen[00] la finalidad de estos artículos era satisfacer necesidades reales.,0,activo,developer,2021-11-19,developer,2021-11-19,69,&&
$$,1909,d[00] f[00] g,¡Exacto! Estos son tres de los elementos principales que distinguen a toda artesanía.,1,activo,developer,2021-11-19,developer,2021-11-19,69,&&
$$,1909,a[00] d[00] c[00] b,Incorrecto. Amelia aparece cuando la trama ya está bastante avanzada,0,activo,developer,2021-11-19,developer,2021-11-19,79,&&
$$,1909,b[00] c[00] a[00] d,Te equivocaste. La visita de Fátima a Sofía es una de las últimas cosas que sucede en el texto.,0,activo,developer,2021-11-19,developer,2021-11-19,79,&&
$$,1909,c[00] a[00] b[00] d,¡Excelente! Este es el orden correcto en el que sucedieron los eventos.,1,activo,developer,2021-11-19,developer,2021-11-19,79,&&
