$$,id_respuesta,respuesta,Feedback,correcta,reg_status,created_by,created_date,last_update_by,last_update_date,Id_pregunta,&&
$$,149,Encabezado[00] cuerpo y despedida,Tu respuesta es incorrecta. La despedida no es parte del texto.,0,activo,developer,2021-11-19,developer,2021-11-19,41,&&
$$,150,Encabezado[00] cuerpo y cierre.,Exacto[00] identificaste muy bien la estructura de este documento.,1,activo,developer,2023-02-02,developer,2023-02-02,41,&&
$$,151,Título[00] cuerpo[00] fuentes y créditos,No observaste muy bien la imagen. Algunos elementos de la estructura del documento no se representan aquí.,0,activo,developer,2024-04-17,developer,2024-04-17,41,&&
$$,152,Título[00] subtitulo[00] cuerpo y marca,La estructura del documento no es la elegida. Especialmente la marca debió haberte dado la idea de que no es parte de la estructura.,0,activo,developer,2025-07-01,developer,2025-07-01,41,&&
$$,153,Un cartel,La respuesta es incorrecta. En el cartel sobresalen más las imágenes y menos el texto.,0,activo,developer,2021-11-20,developer,2021-11-20,42,&&
$$,154,Una convocatoria,¡Lo hiciste bien! El documento presentado es una convocatoria y sirve para invitar a las personas a participar en un evento o acontecimiento determinado.,1,activo,developer,2023-02-03,developer,2023-02-03,42,&&
$$,155,Una carta,¡Cuidado! La carta es un mensaje que se envía a un solo destinatario y su estructura es diferente a la del documento presentado.,0,activo,developer,2024-04-18,developer,2024-04-18,42,&&
$$,156,Un formulario,Vuelve a leer las Opciónes. Los formularios sirven para solicitar información y su diseño es diferente.,0,activo,developer,2025-07-02,developer,2025-07-02,42,&&
$$,157,Para invitar a participar en un evento o acontecimiento determinado.,¡Muy bien! Este tipo de documentos tiene como objetivo congregar a un grupo de personas a un evento.,1,activo,developer,2021-11-21,developer,2021-11-21,43,&&
$$,158,Para anunciar o dar información sobre un producto o evento.,Al parecer[00] no observaste bien la imagen[00] pues no se muestra ningún producto.,0,activo,developer,2023-02-04,developer,2023-02-04,43,&&
$$,159,Para comunicar ideas o pensamientos a partir de un relato.,Tu respuesta es incorrecta. Un escrito puede ayudar a comunicar ideas[00] pero no es el propósito de la convocatoria.,0,activo,developer,2024-04-19,developer,2024-04-19,43,&&
$$,160,Para mostrar información y datos concretos de manera visual.,Tu respuesta es incorrecta. Aunque se presentan datos[00] no es el objetivo principal.,0,activo,developer,2025-07-03,developer,2025-07-03,43,&&
$$,161,Mostrar a los latinoamericanos todas las culturas existentes en Latinoamérica a través de la fotografía.,Al parecer no leíste con atención[00] ya que no es el principal motivo por el que se realizó la convocatoria.,0,activo,developer,2021-11-22,developer,2021-11-22,44,&&
$$,162,Generar ingresos con la inscripción de los participantes y donarlos para fomentar la cultura y tradiciones de Latinoamérica.,La idea es muy buena[00] pero no es el motivo principal.,0,activo,developer,2023-02-05,developer,2023-02-05,44,&&
$$,163,Compartir con el mundo que en Latinoamérica existen excelentes fotógrafos infantiles.,Reflejar en las fotografías el valor que los niños latinoamericanos dan a su cultura y tradiciones[00] para después compartirlo con el mundo.,0,activo,developer,2024-04-20,developer,2024-04-20,44,&&
$$,164,¡Exacto! Mediante las fotografías[00] los niños darán a conocer la importancia de Latinoamérica.,,1,activo,developer,2025-07-04,developer,2025-07-04,44,&&
$$,165,Para completar el registro[00] entregar en formato digital las fotografías y publicar resultados.,¡Así es! Hay acciones que se deberán realizar en el sitio de internet.,1,activo,developer,2021-11-23,developer,2021-11-23,45,&&
$$,166,Para subir las fotografías[00] intercambiar opiniones con otros concursantes y consultar dudas.,¡Cuidado! En la convocatoria no se menciona nada sobre intercambio de opiniones ni consulta de dudas.,0,activo,developer,2023-02-06,developer,2023-02-06,45,&&
$$,167,Para contactar a los organizadores del concurso y realizar el registro de los participantes.,Te equivocaste en la mitad de la respuesta. Sí sirve para realizar el registro[00] pero no para contactar a los organizadores.,0,activo,developer,2024-04-21,developer,2024-04-21,45,&&
$$,168,Para completar el registro de concursantes[00] revisar resultados y elegir el premio que más le guste al ganador.,Sería muy buena idea que el ganador pudiera escoger el premio[00] pero los premios ya están asignados[00] de acuerdo con el lugar que ocupen los ganadores.,0,activo,developer,2025-07-05,developer,2025-07-05,45,&&
$$,169,Vender galletas.,¡Podría ser! Aunque convendría más hacer un cartel.,0,activo,developer,2021-11-24,developer,2021-11-24,46,&&
$$,170,Anunciar un curso de verano.,Claro[00] la convocatoria será buena idea para anunciar un curso de verano.,1,activo,developer,2023-02-07,developer,2023-02-07,46,&&
$$,171,Representar información o datos.,Esta respuesta es incorrecta. Para este caso sería mejor emplear una infografía[00] tablas[00] cuadros y gráficos.,0,activo,developer,2024-04-22,developer,2024-04-22,46,&&
$$,172,Mostrar un lugar del mundo.,¡Cuidado! La mejor opción para esta respuesta es un mapa. ,0,activo,developer,2025-07-06,developer,2025-07-06,46,&&
$$,173,Completar el registro de la convocatoria por medio de internet.,Parte del proceso de la convocatoria es el registro de los participantes vía internet[00] pero no el principal motivo de la convocatoria.,0,activo,developer,2021-11-25,developer,2021-11-25,47,&&
$$,174,Reunir a los niños en una entrega de premios de fotografía.,La entrega de premios se realizará al término del proceso al que se convoca.,0,activo,developer,2023-02-08,developer,2023-02-08,47,&&
$$,175,Animar a ganar grandes premios[00] como cámaras digitales.,Ganar un premio es muy motivante[00] pero la convocatoria no está enfocada sólo en ellos. ¡Piénsalo bien! ,0,activo,developer,2024-04-23,developer,2024-04-23,47,&&
$$,176,Invitar a los niños a un concurso de fotografía. ,¡Muy bien! El motivo del cartel es invitar a todos los niños a participar en el concurso de selfies. ¿Participarías?  ,1,activo,developer,2025-07-07,developer,2025-07-07,47,&&
$$,177,Encabezado,Tu respuesta es incorrecta. Esa sección muestra una breve descripción del evento.,0,activo,developer,2021-11-26,developer,2021-11-26,48,&&
